PRODUTOR;CNPJ_PRODUTOR;PAIS_PRODUTOR;TITULO_ORIGINAL;CPB
14.050.179 GABRIEL HENRIQUE DE PAULA CARNEIRO;014.050.179/0001-04;BRASIL;MORTE E MORTE DE JOHNNY ZOMBIE;B1201545400000
14.494.267 DENIA DE FATIMA CRUZ SCKAFF;014.494.267/0001-97;BRASIL;LIBERDADE SEM CONDUTA;B2500361100000
14.759.882 ANA PAULA MARTINS GUALBERTO;014.759.882/0001-88;BRASIL;ENTARDECER;B2400484400000
14.926.451 RAFAEL SOARES GONCALVES;014.926.451/0001-69;BRASIL;AMICORITOS;B2500054900000
15.052.260 MARIANA DE CARVALHO ROCHA;015.052.260/0001-88;BRASIL;COMEMORATA;B2300506300000
15.073.902 CARLOS DE MATOS BANDEIRA;015.073.902/0001-25;BRASIL;CASA DE RETRATOS;B2500505700000
15.551.598 LUCIANO GUIMARAES DE FREITAS;015.551.598/0001-84;BRASIL;ENTRE MONTANHAS;B2400420000000
16 3 PRODUCOES ARTISTICAS E CULTURAIS LTDA;009.349.774/0001-05;BRASIL;RED;B1800131300000
16.842.308 BRUNA MARTINS CASTRO;016.842.308/0001-14;BRASIL;CALANGO CARETA: 10 ANOS DE ETERNO CARNAVAL;B2500506000000
16.901.052 LUCIANO DOS SANTOS ALVES;016.901.052/0001-79;BRASIL;BEIRA RIO SEM TETO SEM CHÃO;B2400082900000
16.929.855 NILTON MARQUES DOS SANTOS;016.929.855/0001-31;BRASIL;AS AVENTURAS DE BIG E PEPI;B2500243800000
16MM FILMES;011.774.084/0001-37;BRASIL;ESPAÇO LIVRE;B1101420300000
16X9 CINEMATOGRÁFICA LTDA.;000.366.522/0001-01;BRASIL;RASTRO DIGITAL ¿ A AVENTURA DA INFORMÁTICA NO BRASIL;B0800856800000
16X9 LAB LTDA;012.591.570/0001-82;BRASIL;SINFONIA DOS CINZAS;B2500143400000
17 FILMES E PRODUÇÕES LTDA.;036.204.331/0001-90;BRASIL;CLARICE NISKIER - TEATRO DOS PÉS À CABEÇA;B2400340100000
17.099.459 ANDREA CAMPAZ BOMBONATO;017.099.459/0001-97;BRASIL;REVOLUÇÃO VEGANA - ALIMENTANDO O FUTURO;B2600114000000
17.247.441 VIVIAN BARBOZA SANTIAGO DE ARAUJO E SILVA;017.247.441/0001-95;BRASIL;PAPO DE COZINHA;B2300452100000
17.355.935 JOSE AUGUSTO DE ALMEIDA NETO;017.355.935/0001-93;BRASIL;IMPERMANÊNCIA;B2300093200000
17.355.935 JOSE AUGUSTO DE ALMEIDA NETO;017.355.935/0001-93;BRASIL;SEMEAR ESTRELAS;B1402820900000
17.388.624 LUCAS MENDES DE OLIVEIRA;017.388.624/0001-20;BRASIL;NON (OLHE PRO CÉU);B2500229200000
17.388.624 LUCAS MENDES DE OLIVEIRA;017.388.624/0001-20;BRASIL;SÃO PAULO CIDADE EM MONTAÇÃO;B2300193200000
1720 FILMES LTDA;059.556.785/0001-26;BRASIL;PH21 - CARTA ABERTA;B2500303700000
1720 FILMES LTDA;059.556.785/0001-26;BRASIL;TRAUMAS - MORDÊCAI & PH21 [OFICALVISUALIZER];B2500303600000
18.083.163 VANESSA CAMASSOLA SANDRE;018.083.163/0001-40;BRASIL;O PRAZER É TODO MEU;B2300287400000
18.150.186 RAONI ASSIS DE OLIVEIRA PIMENTEL;018.150.186/0001-20;BRASIL;ALGUMA COISA COM PLUTÔNIO;B2400388600000
18.591.345 LUCIANA PEREIRA ANTUNES;018.591.345/0001-22;BRASIL;A MENINA E SEU PÁSSARO;B2500306100000
18.591.345 LUCIANA PEREIRA ANTUNES;018.591.345/0001-22;BRASIL;DA JANELA;B2600075000000
18.591.345 LUCIANA PEREIRA ANTUNES;018.591.345/0001-22;BRASIL;MANEQUINHA DO SAMBA AO CEU;B2500266300000
18.664.146 VINICIUS DA SILVA OLIVEIRA;018.664.146/0001-05;BRASIL;VIVA A NATUREZA;B1800573000000
18BIS PRODUÇÕES ARTÍSTICAS LTDA. ME;017.323.345/0001-89;BRASIL;THE ME BIRD;B1402237300000
19.184.623 FERNANDA DIAS BAFICA;019.184.623/0001-90;BRASIL;CORES NO BREU;B2500115000000
19.392.576 DIEGO VINÍCIUS GUERRA DE ARAÚJO;019.392.576/0001-70;BRASIL;MARGUERITA;B2000239200000
19.486.387 LUCIANA BORTOLINE LEITE;019.486.387/0001-66;BRASIL;ANANDA JACQUES - SOUL 70;B2500477300000
19.911.436 HELENA MARIA CLARO DIAS;019.911.436/0001-60;BRASIL;MÃES;B2500064800000
1979 CURADORIA E CRIATIVIDADE MUSICAL E SONORA;011.626.191/0001-18;BRASIL;O JABUTI E A ANTA;B1700090400000
1988 RECORDS LTDA;061.203.384/0001-34;BRASIL;IPÊ;B2600052500000
1A CASA PRODUCOES AUDIOVISUAIS E MULTICULTURAIS LTDA;014.958.749/0001-50;BRASIL;EU, DONA DE MIM;B2500405900000
2 OLHARES PRODUÇÕES AUDIOVISUAIS EIRELI;011.085.133/0001-24;BRASIL;O JEITINHO CARIOCA;B1301751600000
20.114.649 MARIA APARECIDA FERNANDES VIEIRA;020.114.649/0001-40;BRASIL;BRASILIA, A CAPITAL DAS LEITURAS;B2500482600000
20.186.402 LUIZ CESAR NUNES CAVALCANTI;020.186.402/0001-30;BRASIL;MOT;B1700541600000
20.186.402 LUIZ CESAR NUNES CAVALCANTI;020.186.402/0001-30;BRASIL;NÃO DÁ PRA ESQUECER;B2500285700000
20.196.795 NATALIA PEREIRA;020.196.795/0001-62;BRASIL;ARNOLDO CUECA - 100 ANOS DO CANTADOR;B2400459800000
20.238.645 ANA CAROLINA MARCELIANO NUNES;020.238.645/0001-74;BRASIL;CURANDEIRAS;B2500058800000
20.372.662 BRUNA TEIXEIRA JACINTHO;020.372.662/0001-08;BRASIL;ECOLOGIA DO NAUFRÁGIO;B2500293900000
20.509.190 LUIZ VICTOR DE SOUZA NEVES;020.509.190/0001-84;BRASIL;NAMORANDO COM A SOGRA;B2000082500000
20.509.190 LUIZ VICTOR DE SOUZA NEVES;020.509.190/0001-84;BRASIL;OLHOS CERTOS;B2400317700000
20.509.190 LUIZ VICTOR DE SOUZA NEVES;020.509.190/0001-84;BRASIL;POESIAS PARA GAEL;B2000082600000
20.509.190 LUIZ VICTOR DE SOUZA NEVES;020.509.190/0001-84;BRASIL;QUEM DISSE QUE NÃO TE ENTENDO;B2000383900000
20.936.196 BEATRIZ ID LIMONGELLI;020.936.196/0001-38;BRASIL;A SAGRAÇÃO DA PRIMAVERA - QUADROS DE UMA DÍVIDA NÃO PAGA;B2300557000000
202B SERVICOS DE ESTÚDIOS CINEMATOGRÁFICOS LTDA;023.582.184/0001-40;BRASIL;A LUTA DE NZINGA;B2300513400000
202B SERVICOS DE ESTÚDIOS CINEMATOGRÁFICOS LTDA;023.582.184/0001-40;BRASIL;BECCO DO COTOVELO;B2500242100000
202B SERVICOS DE ESTÚDIOS CINEMATOGRÁFICOS LTDA;023.582.184/0001-40;BRASIL;BOTES BASTARDOS;B2500239900000
202B SERVICOS DE ESTÚDIOS CINEMATOGRÁFICOS LTDA;023.582.184/0001-40;BRASIL;NEGRO LÁ, NEGRO CÁ;B2500273900000
21.173.196 RAFAEL ALEXANDRE DA CRUZ;021.173.196/0001-96;BRASIL;LEGACY, A COROA DE BILÚ;B2600062200000
21.570.057 NEUSA BRAGA XIMENES;021.570.057/0001-04;BRASIL;CHATGPT E EU;B2300455800000
21.570.057 NEUSA BRAGA XIMENES;021.570.057/0001-04;BRASIL;JANELA DA MENTE;B1900544500000
21.701.042 MARIANNA MEIRELES POMPEU;021.701.042/0001-20;BRASIL;PANORAMA RTN;B2500061200000
21.844.853 HAMILTON DA SILVA TENORIO;021.844.853/0001-80;BRASIL;ALAGAMAR WEBCLIP;B2400476300000
21.844.853 HAMILTON DA SILVA TENORIO;021.844.853/0001-80;BRASIL;CABOCLO MESTIÇO;B2400477200000
21.844.853 HAMILTON DA SILVA TENORIO;021.844.853/0001-80;BRASIL;CORRENTEZA;B2400476500000
21.844.853 HAMILTON DA SILVA TENORIO;021.844.853/0001-80;BRASIL;RUA DO AMANHECER;B2400433600000
21.844.853 HAMILTON DA SILVA TENORIO;021.844.853/0001-80;BRASIL;TUPINIQUIM;B2400476700000
22 TANGO MARKETING E TREINAMENTO LTDA;015.001.379/0001-21;BRASIL;NÃO ME SINTO SEGURA NA INTERNET;B1700026400000
22.000.557 GABRIELA LUIZA DE SOUZA PADULA SALLES;022.000.557/0001-65;BRASIL;DEUSES DA PESTE;B2500251400000
22.086.991 JEFERSON ADRIANO DO AMARAL;022.086.991/0001-00;BRASIL;RIO DO POETA - ARTE&NATUREZA;B2400397400000
22.086.991 JEFERSON ADRIANO DO AMARAL;022.086.991/0001-00;BRASIL;TXAKA - PIANO&MICROFONE;B2300505400000
22.313.096 VINI POFFO;022.313.096/0001-80;BRASIL;(SUB)URBANA;B2300260700000
22.313.096 VINI POFFO;022.313.096/0001-80;BRASIL;NÃO ALIMENTE OS CÃES;B2600121500000
22.336.389 MARCELL NODA;022.336.389/0001-83;BRASIL;O BRILHO DE FRANCISCA;B2500193500000
22.550.729 THIAGO GOMES BARBOZA DE SOUZA;022.550.729/0001-74;BRASIL;COMEMORATA;B2300506300000
22.579.228 MONIQUE CIBELLE DAS NEVES;022.579.228/0001-10;BRASIL;BAR TEATRO AVENIDA;B2500378400000
22.886.779 MELISSA CAROLINE VASSALLI;022.886.779/0001-27;BRASIL;ARTISTA INTERROMPIDO;B2600059100000
23.690.885 GUINEVERE RAMOS GASPARI RIBEIRO;023.690.885/0001-01;BRASIL;MENINAS INVISÍVEIS;B1900288200000
23.727.333 CAROLINA KANASHIRO LAURIA;023.727.333/0001-12;BRASIL;CORAÇÃO;B1600423300000
23689982 DANIELA DA SILVA CRUZ;023.689.982/0001-76;BRASIL;ALVORADA;B2500242000000
23689982 DANIELA DA SILVA CRUZ;023.689.982/0001-76;BRASIL;COMPOR: IMERSÃO CRIATIVA;B2500226400000
23SUL MEDIA PRODUÇÕES AUDIOVISUAIS LTDA.;034.867.344/0001-14;BRASIL;PEDRAS DE ITAPUCA;B2500018800000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;CON LIBERTAD NI OFENDO NI TEMO;B2200358600000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;JARDIM ÂNGELA;B0700715700000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;REC PAUSE;B0901002000000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;SEGREDOS DO PUTUMAYO;B2100339600000
