PRODUTOR;CNPJ_PRODUTOR;PAIS_PRODUTOR;TITULO_ORIGINAL;CPB
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POLE DANCE;B1301949700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POP ESTRADA - 1ª TEMPORADA;B1500437900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POP ESTRADA - 2° TEMPORADA;B1600341100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POPLOAD FESTIVAL 2015;B1500917000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POPLOAD FESTIVAL 2016 - AVA ROCHA;B1600710200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POPLOAD FESTIVAL 2016 - RATATAT;B1600710300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POPLOAD FESTIVAL 2016 - THE LIBERTINES;B1600710000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POPLOAD FESTIVAL 2016 - WILCO;B1600710100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR DENTRO DA VILA - 2018;B1800438300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR DENTRO DO VAI QUE COLA;B1600568000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR DENTRO DO VAI QUE COLA 2018;B1800335800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR ISSO EU SOU VINGATIVA - 1ª TEMPORADA;B1402167700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR TRÁS DA CANÇÃO;B1301796300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR TRÁS DA CANÇÃO - 2ª TEMPORADA;B1402123700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR TRÁS DA CANÇÃO - 3ª TEMPORADA;B1500199300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;POR UM FIO 2;B1201576100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRANCHA E PÉ DE PATO - 1A TEMPORADA;B1301899600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRANCHA E PÉ DE PATO 2ª TEMPORADA;B1402813000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRAZER, PABLLO VITTAR;B1800185500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PREMIERE VIEW FROM A BLUE MOON;B1700150600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PREMIO MULTISHOW DE HUMOR ¿ 3ª TEMPORADA;B1402151400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRINCESAS DO FUNK;B1900572100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROCURANDO CASSETA & PLANETA - 1ª TEMPORADA;B1600614500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROCURANDO CASSETA & PLANETA - 2ª TEMPORADA;B1800081600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRODÍGIOS;B1700226100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROFISSÃO: SALVA-VIDAS;B1800264400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROGRAMA COM BIAL - 1ª TEMPORADA;B1600559200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROGRAMETE ASTROLOGIA;B1301889200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROGRAMETE BELEZA;B1402110100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO BOB  BURNQUIST;B1301813900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO DETOX - 1ª TEMPORADA;B1600118000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO INUSITADO - PANAMERICANA CONVIDA NEY MATOGROSSO;B1500363200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO INUSITADO BLITZ;B1402297000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO INUSITADO COM ALCIONE;B1500645700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO INUSITADO COM ANDY SUMMERS, ROBERTO MENESCAL E RODRIGO SANTOS;B1500334800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PROJETO INUSITADO PAULA TOLLER;B1500351800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO DA MÚSICA BRASILEIRA;B1500444400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO GERAÇÃO GLAMOUR;B1700105300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MEN OF THE YEAR - 2ª TEMPORADA;B1700581100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW - ESPECIAL 2016;B1600681600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW - ESPECIAL 2017;B1700498200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2015;B1500635900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2015 - A FESTA;B1500636200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2015 - OS VENCEDORES;B1500636000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2015 - SUPER JÚRI;B1500636300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2016 - A FESTA;B1600681800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2016 - OS VENCEDORES;B1600681700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2016 - SUPER JÚRI;B1600681900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2017;B1700498600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2017 - A FESTA;B1700499000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2017 - MUSICAIS;B1700508500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2017 - OS VENCEDORES;B1700498900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2017 - SUPER JÚRI;B1700498800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2018;B1800413900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2018 - A FESTA;B1800414000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2018 - MUSICAIS;B1800414100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2018 - OS VENCEDORES;B1800414300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2018 - SUPERJÚRI;B1800414400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2019;B1900502100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2019 - A FESTA;B1900501700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2019 - MUSICAIS;B1900502000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2019 - OS VENCEDORES;B1900501800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW 2019 - SUPERJÚRI;B1900501900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW DE HUMOR;B1301821300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW DE HUMOR - 2013;B1301999800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW DE HUMOR - 4ª TEMPORADA;B1500156500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW DE HUMOR - 5ª TEMPORADA;B1600294600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW DE HUMOR - 6ª TEMPORADA;B1700150200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO MULTISHOW – ESPECIAL 2018;B1800432400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PRÊMIO NHAC - 1ª TEMPORADA;B1800572600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PSICOPATO;B1402229200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PSICOPATO - 2ª TEMPORADA;B1600511000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÁSCOA PERFEITA - 1ª TEMPORADA;B1700147500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÁSCOA PERFEITA - 2ª TEMPORADA;B1800130900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÉ NA PORTA;B1301961100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÉ NA PORTA: A HISTÓRIA CONTINUA;B1700506800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÉRICLES AO VIVO;B1402425900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÍLULAS DE MATERNIDADE - ÁLBUM DE FAMÍLIA - 1ª TEMPORADA;B1800610300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;PÍLULAS DE MODA GNT FASHION - 22ª TEMPORADA;B1700103600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUANDO ELAS TOCAM - 1A TEMPORADA;B1900303400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUANDO SOMOS QUEM QUEREMOS SER?;B1700567100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUASE ANÔNIMOS;B1301846900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUATRO REMOS;B1301814000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUATRO REMOS - 2ª TEMPORADA;B1402290100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUATRO REMOS 3ª TEMPORADA;B1302023800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE HISTÓRIA É ESSA, PORCHAT? - 1ª TEMPORADA;B1900343600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - 1ª VEZ NA COZINHA - 16ª TEMPORADA;B1700087000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - AULA DE COZINHA - 20ª TEMPORADA;B1800091400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - CHATO PRA COMER - 22ª TEMPORADA;B1900105200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - CHEFINHOS 14ª TEMPORADA;B1600500200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - ESPECIAIS - 18ª TEMPORADA;B1700583700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - ESPECIAIS 2014;B1402236300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - ESPECIAIS DE FIM DE ANO - 15ª TEMP;B1600747000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - MOMENTO GOURMET - 1ª TEMPORADA;B1900173800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA - REVANCHE - 17ª TEMPORADA;B1700353900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA!;B1301810700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! AULA DE COZINHA - 21ª TEMPORADA;B1800395500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! CHATO PRA COMER;B1500139400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! CHATO PRA COMER - 13ª TEMPORADA;B1600133800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! CHEFINHOS - 11ª TEMPORADA;B1500592300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! ESPECIAIS DE FIM DE ANO - 12ª TEMPORADA;B1500873000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! FÉRIAS EM NY - 19ª TEMPORADA;B1800028800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! REVANCHE;B1301850100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! REVANCHE (2014);B1402141000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE MARRAVILHA! VERÃO;B1301850000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE SEJA DOCE - 1A TEMPORADA;B1500216500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE SEJA DOCE - 2ª TEMPORADA;B1600299600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE SEJA DOCE - 3ª TEMPORADA;B1700071100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE SEJA DOCE - 4ª TEMPORADA;B1800043500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUE SEJA DOCE - 5ª TEMPORADA;B1900104300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUEBRANDO O TABU;B1800332500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUEBRANDO O TABU - 2ª TEMPORADA;B1900303300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUEEN + ADAM LAMBERT - I WANT TO BREAK FREE (AO VIVO NO RIR 2015);B1500770100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUEIMANDO A RODA - 1ª TEMPORADA;B1402295700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUEIMANDO A RODA - 2ª TEMPORADA;B1500249500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;QUERO SER SOLTEIRA;B1301865600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RACE ACROSS AMERICA;B1900575100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RAFINHA BASTOS SHOW;B1600255100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RAIMUNDOS - DESCULPE MAS EU VOU CHORAR (EXTRAÍDO MÚSICA BOA);B1500163500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RALLY MONGOL;B1301836500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RAÇA NEGRA - COMO É GRANDE O MEU AMOR POR VOCÊ (EXTRAÍDO MÚSICA BOA);B1500163700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RAÇA NEGRA E CÉSAR MENOTTI & FABIANO - VIDA CIGANA (EXTRAÍDO MÚSICA BOA);B1500163600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REBOBINA;B1402406700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REBOBINA - 2ª TEMPORADA;B1500368500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RECEITAS DA CAROLINA - 2ª TEMPORADA;B1500024900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RECEITAS DA CAROLINA - 3ª TEMPORADA;B1500743600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RECEITAS DA CAROLINA - 4ª TEMPORADA;B1600118400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RECEITAS DA CAROLINA 2014 - 1ª TEMPORADA;B1402277900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REFAZENDA COM BELA GIL - 1ª TEMPORADA;B1900617200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REFORMA DE CASAIS - 1ª TEMPORADA;B1700087900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REMANDO PARA A VITÓRIA;B1800286900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REMO A DOIS;B1600016100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RESTAURANTES INESQUECÍVEIS;B1700222600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RESTAURANTES INESQUECÍVEIS - 2ª TEMPORADA;B1800395400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RETRATOS DO MAR;B1402166300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RETRATOS DO MAR 2ª TEMPORADA;B1500308700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RETROSPECTIVA BIG BROTHER BRASIL;B1500895500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REVIVA;B1201679200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REVIVA - 2013;B1301943800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REVIVA - 2014;B1402131200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;REVOLUÇÃO DO FOIL;B1700243600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RIHANNA - BITCH BETTER HAVE MY MONEY (AO VIVO NO RIR 2015);B1500770000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RISCO TOTAL;B1500637900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RITMO & FUTEBOL - 1ª TEMPORADA;B1402239500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RMR - PROGRAMA DE 60’;B1600384200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROBBY NAISH: MITO DAS PRANCHAS;B1600738300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROBERTA SÁ – ME ERRA (EXTRAÍDO MÚSICA BOA);B1600318500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROCK ESTRADA;B1301861800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROCK ESTÚDIO - 1ª TEMPORADA;B1900413500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROCK IN RIO 2015;B1500685300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROCK IN RIO 2017;B1700436500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROCK IN RIO 2019;B1900589900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODA GIGANTE COM FERRUGEM - AO VIVO;B1800345500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODA GIGANTE COM IMAGINASAMBA - AO VIVO;B1800345800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODRIGO SANT'ANNA - GUERREIRA;B1500284000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODRIGO SANTOS & OS LENHADORES - EVERY BREATH YOU TAKE;B1800035200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODRIGO SANTOS & OS LENHADORES - EVERY LITTLE THING SHE DOES IS MAGIC;B1800035300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODRIGO SANTOS & OS LENHADORES - MESSAGE IN A BOTTLE;B1800035400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RODRIGO TEASER – TRIBUTO AO REI DO POP – AO VIVO;B1600512500000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RONNIE VON: QUANDO ÉRAMOS PRÍNCIPES;B1402148300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROTEIRO DAS ONDAS: INDONÉSIA;B1800167400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;ROTEIRO DAS ONDAS: PERU;B1800606600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;RUAS DO MUNDO;B1402617700000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;S.O.S. - SALVEM O SALÃO;B1500118300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;S.O.S. SALVEM O SALÃO - 2ª TEMPORADA;B1600107400000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;S.O.S. SALVEM O SALÃO - 3ª TEMPORADA;B1700066900000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SABOR EM JOGO - 1ª TEMPORADA;B1800326300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAI DE BAIXO ESPECIAL;B1301886200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA;B1201666800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA - 15ª TEMPORADA;B1600124600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA - 16ª TEMPORADA;B1700104300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA - 17ª TEMPORADA;B1800086600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA - 18ª TEMPORADA;B1900105000000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA - 19ª TEMPORADA;B1900626600000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA 2014;B1402141200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA VERÃO;B1402065800000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA VERÃO;B1500935300000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA VERÃO;B1700626100000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA VERÃO;B1900000200000
GLOBOSAT PROGRAMADORA LTDA (BAIXADA);000.811.990/0001-48;BRASIL;SAIA JUSTA VERÃO 2020;B1900617800000
